,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
recency_days,-0.11415882313032724,0.09117667486745748,0.10682681729465361,0.04054929125090834,0.3190460603369522,0.47670874411107966,0.11439081255837626,0.03240403021617924,-0.4603695770063066,0.16069947299483944,0.051714588627365304,0.05004106122052044,-0.007374382723084663,-0.060734093703370066,0.30795643463587574,-0.20234967932427675,0.46958006222258586,-0.07460322984900399,0.0025527099518251163,-0.11732692614052548,-0.010420743774115877,0.0010603875942208948,8.428573726327743e-05
tenure_days,-0.029211884007964595,0.05517707156077464,0.05624647562078813,0.03649099561449696,0.399023532538439,0.5778164199090005,0.16804223314575042,-0.04782255685041238,0.10763382783136424,-0.012032063332530566,-0.005072966535151685,-0.006273120014777938,0.2478650344999271,0.07559091824827242,-0.3852087828741457,0.20306469735938348,-0.4338660135033772,0.0718646181765678,0.0037540327351039396,0.07724306401367453,-0.005834218029486919,0.0020524460062371413,-1.8438941352391587e-05
order_frequency,0.3257297765853375,-0.37605067718331514,-0.0947289720810501,-0.09740936329648371,-0.1317905645206492,0.1783420470753137,0.07752548796153362,-0.09166564594787562,0.08052428702599755,-0.01965955534490992,-0.007248095803309113,0.01344504517359776,0.12671006178747582,0.002455469696935082,0.011321360780650522,-0.07067311421255858,0.10919449567446034,-0.11377158762951764,0.14382451472527435,0.038653176496208586,-0.47436080340862413,-0.5875435116322655,-0.15771998168822754
is_repeat_customer,0.31359550352012716,-0.3695800736658915,-0.08991227016495154,-0.10736202346721652,-0.14238009506637767,0.17508948544658362,0.0704291726453505,-0.07481932836236098,0.05730389716036611,-0.013342297215092273,-0.006651886248748258,0.011891150147850225,0.1715076792827336,0.010732522255179124,-0.03330520551227589,-0.04203377010861467,0.10308855215511027,-0.2550669573070665,-0.020493862029410104,-0.10192771711640652,0.7389685972032219,0.08360037669438604,-0.09142304000688467
log_monetary_value,0.40169150972563383,0.11523630993582434,0.30405594108821177,-0.037921907041428206,-0.054927198704778246,0.02815826496505313,0.054026366602953596,-0.01848958227647708,0.00791154928127264,0.004982570167010025,-0.002371993970352904,0.009529967036801815,-0.036542780154704316,-0.0023932234462214247,0.030351516988723973,0.18198756830943552,0.03430617441222298,-0.21596555920581106,-0.3184919448821108,-0.002100293034215464,-0.07841215583171048,-0.05308650993734929,0.7284325446733746
log_avg_order_value,0.3222431689898213,0.26776564571596717,0.37041662992917207,-0.003744009111098068,-0.009549100087572496,-0.03560926916366656,0.031375747911577434,0.011535979074332776,-0.01863186949363064,0.012075577689444493,1.7263820238917552e-05,0.005733600015927811,-0.09418097655180434,-0.004874821136961309,0.035354241538801116,0.22338402386281114,-0.0023935465448472358,-0.176163406204567,-0.3821709772582551,0.0027832432154929238,-0.07622562487553775,0.07161708101061505,-0.6604170238374865
avg_basket_size,0.2692595679705989,0.2102904046895203,-0.09587134641243855,0.26304425438691537,0.37286440763714157,-0.17203352905804503,-0.07267734677990567,-0.03609175106287412,-0.13429954876207179,0.03723388527490688,-0.00493852300477573,0.01976505460423155,-0.392620364381269,-0.015540988717741878,0.054259135502542764,0.001705763852054776,-0.19118693737322828,-0.09758834012149867,0.29259656553551217,0.16709438784880465,0.3120663999234916,-0.4421693737346844,-0.00045013369545194063
total_items_purchased,0.41949684715625996,-0.1602971046340829,-0.13457096498710738,0.09005511653327296,0.13395063197903687,0.028120944406276556,0.014638633371660223,-0.09421138457103338,-0.0221378348914598,0.006421721281605685,-0.008317255792091824,0.02237361368183995,-0.16238740037395108,-0.009100423840604097,0.05315550451961599,-0.06994899106910135,-0.04428607403927171,-0.13715248068518776,0.35550050584829734,0.16948944548591022,-0.2987904320852897,0.6662252441948349,0.0011222484678907445
category_diversity,0.37968049293912703,-0.18612475802857228,-0.12043778417991863,0.06746563115101539,0.1178598202248017,0.06377916706799461,-0.0332287941879213,0.2088633341285891,0.01140412499700557,-0.004116317390320851,0.025617738668613325,-0.03761580231152349,-0.12334073507424285,-0.030496192720892736,0.12213253282866177,-0.033302326238638845,0.0006469000987575069,0.7769548511376584,-0.27707646448843315,-0.15035149568089543,0.04383273869035376,0.010606297002969318,-0.0003006867730788223
cat_apparel_ratio,-0.0843577731335451,-0.10246856315942723,-0.14906009743025375,0.05038550617840992,0.07578464729377127,-0.22592565833879677,0.6996857828000147,0.02110090823020464,-0.0247337151420829,0.025355336585405553,-0.029870853545694923,-0.010617901714102089,-0.012989986150742127,-0.009666927304577516,0.07551814347342876,0.5822109810618341,0.21763765210984706,0.0692163615659663,0.10593893318596702,0.0022549312442542778,0.015730656322404023,0.002842102672227749,9.098979186067246e-06
cat_electronics_ratio,0.13949686404912554,0.21834681029832917,0.46506848793961986,-0.1529446607532309,-0.22430668059119002,0.10126276872353238,-0.1469200228569315,0.04028939594820196,0.056444947086856316,-0.013834276992445488,0.01268947676377131,3.331124596223581e-05,0.14239348554568995,0.007609225839941546,0.00735641622601364,0.21792729303201888,0.18183523718552505,0.32260366906215376,0.6225560383484304,-0.004445769982463844,0.11440941303148534,-0.012922823139704517,0.00011817389108684165
cat_groceries_ratio,-0.09897426023878385,-0.14575047762371585,-0.26886564453921075,0.047205899003552064,0.06996261275470085,0.17602316735395507,-0.6203421738272002,-0.055880556570505314,-0.003140485558654579,-0.0016085694158900583,0.040024943069896,0.018805466833957576,-0.08103368694772191,-0.009463312246109624,0.07093589935795488,0.6365845215677773,0.19421554399988042,-0.08840158833927704,-0.07084450319197186,0.008716919361980085,-0.032129427655110517,0.007757825951107086,2.1060847769460107e-05
discount_order_pct,0.1572940007908013,0.3862334265484548,-0.3564850516285818,-0.05559718799572995,-0.03277774000758519,-0.02027905685918559,-0.009640923816872354,-0.024561634335799165,0.01231174185146395,-0.009567057982186373,-0.0026485059792220743,0.014735294650816095,0.4695138791471016,-0.021497452292805953,0.13968362362842884,-0.0515732941250744,0.17473163229027114,0.09983940521928536,-0.12824748259113436,0.6243992374580736,0.05798080561137663,-0.0011019641744217706,7.136449369441188e-06
avg_discount_pct,0.22513683116974795,0.3220920489058676,-0.2628666473601016,0.1367706846800815,0.18817315775612334,-0.21939443672062717,-0.07757042711998795,-0.06514153706863658,0.01718559657965112,-0.01013406997195753,-0.02045376073086744,0.014211600552895986,0.3447322613305397,0.06212166691089485,-0.31347325995655506,-0.03636520803273005,0.21724539326470294,-0.06331835533748253,0.07359454947609022,-0.612686031496886,-0.09239763230135441,0.010641064982193856,1.984222998614388e-05
return_rate,0.021982003506803568,-0.023612826850416865,-0.021231142183616273,0.010215625140732628,0.030114630581876883,0.010195500296373622,-0.06002849097990304,0.5342501003801822,0.13614577189366528,0.5134091891130365,-0.46406537743867693,-0.42888903229704584,0.05453512140009191,0.006908267771153518,-0.010134527274414969,0.0044822562009383116,0.0093051199430611,-0.14202441048921793,0.0506231083049913,0.02700855911967397,-0.015592723693783466,-0.0014544146601593846,-5.0750121774253916e-05
cancellation_rate,0.0243729640459789,-0.04165315705088971,-0.012944862833335914,0.016872567722938263,0.0706929774657565,-0.01915531361804781,-0.004211577086224335,0.7694525290420119,-0.011671979188522683,-0.3926144837494021,0.4177133953017604,0.13082053483504455,0.07823322477026076,0.017081610471159865,-0.036692139232282005,0.008478085046161182,0.005782207404117944,-0.19873464260405596,0.06910130191414678,0.036800639198931916,-0.019998139641757492,-0.0031616769539249165,-5.956774153596313e-05
avg_review_score,0.008075942383276894,-0.04663802558892232,0.011109806467703707,-0.5929694282447471,0.33785321038387056,-0.16959840136869447,-0.05018855468693613,-0.02459764885327524,-0.011582020933087635,0.014929555579594203,0.0037339483562925757,-0.0016091555194250723,-0.008972630631786471,0.6883677800591896,0.15869029531109555,-0.00455802041618669,-0.01943037648119777,0.003405114405470587,-0.0016781366238164306,-0.009426502302624554,-0.0011106067841969557,-0.0012018382067887333,-0.00010124884830303129
review_response_rate,-0.009684445335705769,-0.0020994587946210016,-0.006482459332003756,0.012412307583747837,-0.008442769966645508,-0.027377547660515714,0.006982140123395885,0.08172766067256343,0.28179595265286345,0.628682283795656,0.24072107636456275,0.677505503648848,-0.00958279140985264,0.0053523884207319185,-0.012221167838113242,-0.011989433507421115,-0.007946418634336627,0.0072151035233954395,-0.0032111692914625427,0.0016163221971607594,0.001843680307195983,0.0009590222097040067,-1.3975653282429647e-05
weekend_order_ratio,0.009583138502072874,0.0005889235617149258,0.006206370618831782,0.021651142262548852,-0.0007453602931188257,-0.037016247283030164,0.016601549855005813,-0.14650032662738868,0.08359686274650768,0.3147543676712379,0.7361498557283588,-0.572449093675669,0.019780674374787185,-0.004118902458313448,-0.0032273930691351996,-0.00816847484532757,-0.004532088470575731,-0.007837707796528074,0.005583527410101555,0.004363159988139027,0.0009422729848845405,-0.0001927320398060425,-5.9197334470794705e-06
